epoch,step,test_accuracy,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,0,,,0.125,,1.0656348645302562e+29
0,0,,0.125,,1.0656348645302562e+29,
1,1,,,0.125,,1.0656348645302562e+29
1,1,,0.125,,1.0656348645302562e+29,
2,2,,,0.125,,1.0656348645302562e+29
2,2,,0.125,,1.0656348645302562e+29,
3,3,,,0.125,,1.0656347700829266e+29
3,3,,0.125,,1.0656347700829266e+29,
4,4,,,0.125,,1.0656348645302562e+29
4,4,,0.125,,1.0656348645302562e+29,
5,5,,,0.125,,1.0656348645302562e+29
5,5,,0.125,,1.0656348645302562e+29,
6,6,,,0.125,,1.0656348645302562e+29
6,6,,0.125,,1.0656348645302562e+29,
7,7,,,0.125,,1.0656348645302562e+29
7,7,,0.125,,1.0656348645302562e+29,
8,8,,,0.125,,1.0656348645302562e+29
8,8,,0.125,,1.0656348645302562e+29,
9,9,,,0.125,,1.0656347700829266e+29
9,9,,0.125,,1.0656347700829266e+29,
10,10,,,0.125,,1.0656348645302562e+29
10,10,,0.125,,1.0656348645302562e+29,
11,11,0.0,,,,
